Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity
"0402WGF100JTCE","R - RESISTOR - SMD - 10R - 1% - 0402","Rbg1a, Rbg1b, Rbg2a, Rbg2b, Rbin, Rbout, Rtg1a, Rtg1b, Rtg2a, Rtg2b","R_0402","C25077","0402WGF100JTCE","10"
"0402WGF5602TCE","R - RESISTOR - SMD - 56k - 1% - 0402","Riin, Riout, Rnc4, Rpm","R_0402","C25796","0402WGF5602TCE","4"
"0603WAF6800T5E","R - RESISTOR - SMD - 680R - 1% - 0603","Riinsns1, Riinsns2, Rioutsns1, Rioutsns2","R_0603","C23228","0603WAF6800T5E","4"
"0402WGF2003TCE","R - RESISTOR - SMD - 200k - 1% - 0402","Ron","R_0402","C25764","0402WGF2003TCE","1"
"0402WGF3301TCE","R - RESISTOR - SMD - 3.3k - 1% - 0402","Rpsufb2","R_0402","C25890","0402WGF3301TCE","1"
"0402WGF1001TCE","R - RESISTOR - SMD - 1k - 1% - 0402","Rrst, Rsu5","R_0402","C11702","0402WGF1001TCE","2"
"0603WAF2703T5E","R - RESISTOR - SMD - 270k - 1% - 0603","Rsu2, Rsu3","R_0603","C22965","0603WAF2703T5E","2"
"0402WGF3303TCE","R - RESISTOR - SMD - 330k - 1% - 0402","Rsu4","R_0402","C25778","0402WGF3303TCE","1"
"0603WAF1002T5E","R - RESISTOR - SMD - 10k - 1% - 0603","Rvinb, Rvoutb","R_0603","C25804","0603WAF1002T5E","2"
"0603WAF1003T5E","R - RESISTOR - SMD - 100k - 1% -  0603","Rvint, Rvoutt","R_0603","C22936","0603WAF100KT5E","2"
"TS-1187A-C-C-B","SW - SWITCH - SPST - NO - Top Actuated Surface Mount","SWrst","TS-1187A-C-C-B","C318889","TS-1187A-C-C-B","1"
"78L05G-AB3-R","U - IC - 5V Power Regulator","U5V2","SOT-223-3","C71136","78L05G-AB3-R","1"
"SM72442MTE/NOPB","Programmable Maximum Power Point Tracking Controller for Photovoltaic Solar Panels","U8","MTC28_L","","SM72442","1"
"SM72295MAX","Photovoltaic Full Bridge Driver","Ugd","M28B_M","","SM72295","1"
"LM5008MMX/NOPB","U - IC - BUCK CONVERTER, ADJUSTABLE, 95V, 350mA","Upsu","SOP65P490X110-8N","","LM5008MMX/NOPB","1"
"TL7705ACD","U - IC - 5-V single-supply voltage supervisor with programmable delay time 8-PDIP 0 to 70","Urst","SOIC-8-P1.27-W3.5","C350569","TL7705ACD","1"
