Comment,Description,Designator,Footprint,LCSC Part #,LibRef,Quantity
"MMBT3904","Q - TRANSISTOR - BJT - NPN - 40V 200mA","Qsu","TO-236AB","C20526","MMBT3904","1"
"1m","R - RESISTOR - SMD - 0.005R - 1% - 2512 - 2W","R1, R10","R_2512","C371096","FMF25FPJR005-LH","2"
"0402WGF470JTCE","R - RESISTOR - SMD - 47R - 1% - 0402","R21","R_0402","C25118","0402WGF470JTCE","1"
"0402WGF3302TCE","R - RESISTOR - SMD - 33k - 1% - 0402","R28","R_0402","C25779","0402WGF3302TCE","1"
"0402WGF4701TCE","R - RESISTOR - SMD - 4.7k - 1% - 0402","R38","R_0402","C25900","0402WGF4701TCE","1"
"0402WGF1004TCE","R - RESISTOR - SMD - 1M - 1% - 0402","R39, R40, R41","R_0402","C26083","0402WGF1004TCE","3"
"0402WGF1000TCE","R - RESISTOR - SMD - 100R - 1% - 0402","R100, R101, R102, R103","R_0402","C25076","0402WGF1000TCE","4"
"1206W4F100JT5E","R - RESISTOR - SMD - 10R - 1% - 1206","R110, R140","R_1206","C17903","1206W4F100JT5E","2"
"0402WGF4702TCE","R - RESISTOR - SMD - 47k - 1% - 0402","R_1A_a, R_1A_b, R_1B_a, R_1B_b","R_0402","C25792","0402WGF4702TCE","4"
"0402WGF1003TCE","R - RESISTOR - SMD - 100k - 1% -  0402","R_1A_c, R_1B_c, Rsu1","R_0402","C25741","0402WGF1003TCE","3"
"0402WGF100JTCE","R - RESISTOR - SMD - 10R - 1% - 0402","Rbg1a, Rbg1b, Rbg2a, Rbg2b, Rbin, Rbout, Rtg1a, Rtg1b, Rtg2a, Rtg2b","R_0402","C25077","0402WGF100JTCE","10"
"0402WGF5602TCE","R - RESISTOR - SMD - 56k - 1% - 0402","Riin, Riout, Rnc4, Rpm","R_0402","C25796","0402WGF5602TCE","4"
"0603WAF6800T5E","R - RESISTOR - SMD - 680R - 1% - 0603","Riinsns1, Riinsns2, Rioutsns1, Rioutsns2","R_0603","C23228","0603WAF6800T5E","4"
"0603WAF2703T5E","R - RESISTOR - SMD - 270k - 1% - 0603","Rsu2, Rsu3","R_0603","C22965","0603WAF2703T5E","2"
"0402WGF3303TCE","R - RESISTOR - SMD - 330k - 1% - 0402","Rsu4","R_0402","C25778","0402WGF3303TCE","1"
"0402WGF1001TCE","R - RESISTOR - SMD - 1k - 1% - 0402","Rsu5","R_0402","C11702","0402WGF1001TCE","1"
"0603WAF1002T5E","R - RESISTOR - SMD - 10k - 1% - 0603","Rvinb, Rvoutb","R_0603","C25804","0603WAF1002T5E","2"
"0603WAF1003T5E","R - RESISTOR - SMD - 100k - 1% -  0603","Rvint, Rvoutt","R_0603","C22936","0603WAF100KT5E","2"
"78L05G-AB3-R","U - IC - 5V Power Regulator","U5V2","SOT-223-3","C71136","78L05G-AB3-R","1"
